tweet_id,retweets,favorites,user_followers,user_favourites,date_time
892420643555336193,8389,38266,7433310,139181,2017-08-01 16:23:56
892177421306343426,6192,32798,7433310,139181,2017-08-01 00:17:27
891815181378084864,4098,24701,7433310,139181,2017-07-31 00:18:03
891689557279858688,8517,41597,7433939,139183,2017-07-30 15:58:51
891327558926688256,9238,39779,7433939,139183,2017-07-29 16:00:24
891087950875897856,3072,19960,7433310,139181,2017-07-29 00:08:17
890971913173991426,2039,11685,7433939,139183,2017-07-28 16:27:12
890729181411237888,18621,64602,7433939,139183,2017-07-28 00:22:40
890609185150312448,4213,27437,7433939,139183,2017-07-27 16:25:51
890240255349198849,7284,31489,7433310,139181,2017-07-26 15:59:51
890006608113172480,7232,30260,7433939,139183,2017-07-26 00:31:25
889880896479866881,4906,27421,7433940,139183,2017-07-25 16:11:53
889665388333682689,9922,47499,7433311,139181,2017-07-25 01:55:32
889638837579907072,4483,26814,7433940,139183,2017-07-25 00:10:02
889531135344209921,2210,14906,7433311,139181,2017-07-24 17:02:04
889278841981685760,5307,24926,7433940,139183,2017-07-24 00:19:32
888917238123831296,4436,28710,7433940,139183,2017-07-23 00:22:39
888804989199671297,4240,25235,7433311,139181,2017-07-22 16:56:37
888554962724278272,3504,19584,7433940,139183,2017-07-22 00:23:06
888078434458587136,3448,21471,7433940,139183,2017-07-20 16:49:33
887705289381826560,5318,29772,7433940,139183,2017-07-19 16:06:48
887517139158093824,11509,45662,7433940,139183,2017-07-19 03:39:09
887473957103951883,17937,68204,7433311,139181,2017-07-19 00:47:34
887343217045368832,10263,33231,7433940,139183,2017-07-18 16:08:03
887101392804085760,5883,30170,7433311,139181,2017-07-18 00:07:08
886983233522544640,7673,34705,7433940,139183,2017-07-17 16:17:36
886736880519319552,3238,11890,7433940,139183,2017-07-16 23:58:41
886680336477933568,4404,22146,7433940,139183,2017-07-16 20:14:00
886366144734445568,3159,20906,7433311,139181,2017-07-15 23:25:31
886267009285017600,4,116,7433940,139183,2017-07-15 16:51:35
886258384151887873,6197,27629,7433940,139183,2017-07-15 16:17:19
886054160059072513,105,0,7433311,139181,2017-07-15 02:45:48
885984800019947520,6712,32253,7433940,139183,2017-07-14 22:10:11
885528943205470208,6343,35528,7433311,139181,2017-07-13 15:58:47
885518971528720385,3709,20161,7433940,139183,2017-07-13 15:19:09
885311592912609280,18348,0,7433940,139183,2017-07-13 01:35:06
885167619883638784,4325,21647,7433940,139183,2017-07-12 16:03:00
884925521741709313,18075,76498,7433311,139181,2017-07-12 00:01:00
884876753390489601,5589,27567,7433311,139181,2017-07-11 20:47:12
884562892145688576,4692,24002,7433311,139181,2017-07-11 00:00:02
884441805382717440,5580,26653,7433940,139183,2017-07-10 15:58:53
884247878851493888,20202,72114,7433311,139181,2017-07-10 03:08:17
884162670584377345,2947,20104,7433940,139183,2017-07-09 21:29:42
883838122936631299,3406,21623,7433311,139181,2017-07-09 00:00:04
883482846933004288,9827,45339,7433940,139183,2017-07-08 00:28:19
883360690899218434,3634,22288,7433940,139183,2017-07-07 16:22:55
883117836046086144,6590,36732,7433940,139183,2017-07-07 00:17:54
882992080364220416,3869,23670,7433940,139183,2017-07-06 15:58:11
882762694511734784,4857,27960,7433311,139181,2017-07-06 00:46:41
882627270321602560,6013,27573,7433311,139181,2017-07-05 15:48:34
